Distance_km,Fuel_Used_Liters
10,0.95
15,1.32
20,1.48
25,1.9
30,2.55
35,2.61
40,3.42
45,3.18
50,4.08
55,4.21
60,4.73
65,
70,5.86
75,5.44
80,6.38
85,6.15
90,7.24
95,7.05
100,7.98
105,8.42
110,8.31
115,9.41
120,9.22
125,9.95
130,10.68
135,10.27
140,11.49
145,11.13
150,12.02
155,12.46
160,12.21
165,13.36
170,13.05
175,13.97
180,14.61
185,14.24
190,15.37
195,15.03
200,16.14
205,15.78
210,16.91
215,16.63
220,17.54
225,
230,18.41
235,18.06
240,19.12
245,19.53
250,19.31
255,20.46
260,20.18
265,21.37
270,20.95
275,22.14
280,21.72
285,22.81
290,22.56
295,23.48
300,24.22
150,12.02
90,7.24
40,3.42
