Size_sqft,Bedrooms,Age_Years,Price
850,2,15,185000
900,2,12,205000
950,2,10,225000
1000,3,12,250000
1100,3,8,285000
1200,3,10,310000
1300,3,7,345000
1400,3,5,380000
1500,4,8,420000
1600,4,6,455000
1700,4,5,490000
1800,4,10,505000
1900,4,7,540000
2000,5,5,590000
2100,5,8,610000
2200,5,4,670000
2300,5,6,690000
2400,5,3,730000
2500,6,5,780000
2600,6,2,830000
2700,6,4,860000
2800,6,3,900000
2900,6,2,940000
3000,6,1,980000
950,2,20,210000
1150,3,18,275000
1350,3,15,325000
1550,4,12,400000
1750,4,15,465000
1950,4,20,500000
2150,5,12,630000
2350,5,18,700000
2550,6,15,790000
2750,6,10,870000
2950,6,8,950000
3100,6,5,1010000
1250,3,25,300000
1450,3,22,350000
1650,4,18,420000
1850,4,15,500000
2050,5,14,590000
2250,5,12,650000
2450,5,10,720000
2650,6,8,820000
2850,6,6,910000
3050,6,4,1000000
3200,7,3,1080000
3400,7,2,1160000
3600,8,1,1250000
3800,8,2,1320000
